a_cappella	without musical accompaniment
parasitically	in a parasitic manner
conformably	in a conformable manner
conventionally	in a conventional manner
unconventionally	in an unconventional manner
pathogenically	in a pathogenic manner
pictorially	in a pictorial manner
not	negation of a word or group of words
nothing	in no way
no	used to express refusal or denial or disagreement etc or especially to emphasize a negative statement
any	to any degree or extent
no	not in any degree or manner
none	not at all or in no way
either	after a negative statement used as an intensive meaning something like `likewise' or `also'
not_only	not merely (used to introduce the first phrase of a correlative construction and usually followed by `but' or `but also')
bloody	extremely
anywhere	at or in or to any place
nowhere	not anywhere
somewhere	in or at or to some place
everywhere	to or in any or all places
high_and_low	everywhere
somehow	in some unspecified way or manner
somehow	for some unspecified reason
anyhow	used to indicate that a statement explains or supports a previous statement
as_it_is	in the actual state of affairs and often contrary to expectations
anyhow	in any way whatsoever
however	despite anything to the contrary (usually following a concession)
yet	up to the present time
so_far	used in negative statement to describe a situation that has existed up to this point or up to the present time
so_far	used after a superlative
only	except that
however	in whatever way or manner
however	to whatever degree or extent
however	by contrast
lightly	with indifference or without dejection
besides	making an additional point
fugally	in a fugal style
furthermore	in addition
farther	to or at a greater distance in time or space (`farther' is used more frequently than `further' in this physical sense)
further	to or at a greater extent or degree or a more advanced stage (`further' is used more often than `farther' in this abstract sense)
further	in addition or furthermore
farthest	to the greatest distance in space or time (`farthest' is used more often than `furthest' in this physical sense)
furthest	to the greatest degree or extent or most advanced stage (`furthest' is used more often than `farthest' in this abstract sense)
futilely	in a futile and unproductive manner
still	with reference to action or condition
no_longer	not now
anymore	at the present or from now on
already	prior to a specified or implied time
not_yet	subsequent to a specified or implied time
very	used as intensifiers
mighty	(Southern regional intensive) very
good_and	completely or thoroughly
fucking	intensifier, very colloquial
much	very
henceforth	from this time forth
hereafter	following this in time or order or place
hereafter	in a future life or state
hereunder	under the terms of this agreement
just	only a moment ago
instantaneously	without any delay
mightily	to a great degree
mildly	to a moderate degree
a_bit	to a small degree
anon	(old-fashioned or informal) in a little while
soon	in the near future
ASAP	as soon as possible
shortly	for a short time
shortly	at a short distance
momentarily	at any moment
shoulder-to-shoulder	side by side and close together
soonest	with the least delay
spiritedly	in a spirited or lively manner
sportively	in a merry sportive manner
stormily	in a stormy or violent manner
frequently	many times at short intervals
oftener	more often or more frequently
anon	at another time
rarely	not often
curiously	in a manner differing from the usual or expected
strangely	in a strange way
reasonably	to a moderately sufficient extent or degree
unreasonably	to a degree that exceeds the bounds or reason or moderation
slightly	to a small degree or extent
movingly	in a moving manner
extensively	in a widespread way
intrinsically	with respect to its inherent nature
decidedly	without question and beyond doubt
truly	in accordance with truth or fact or reality
indeed	(used as an interjection) an expression of surprise or skepticism or irony etc.
indeed	in truth (often tends to intensify)
in_the_lurch	in a difficult or vulnerable position
in_truth	in fact (used as intensifiers or sentence modifiers)
forsooth	an archaic word originally meaning `in truth' but now usually used to express disbelief
in_utero	in the uterus
in_vacuo	in a vacuum
in_vacuo	in isolation and without reference to anything else
naturally	as might be expected
unnaturally	not as might be expected
clearly	without doubt or question
obviously	unmistakably (`plain' is often used informally for `plainly')
apparently	from appearances alone
again	anew
withal	together with this
by_chance	without advance planning
unexpectedly	in a way that was not expected
specifically	in distinction from others
generally	without distinction of one from others
nonspecifically	without specificity
fortunately	by good fortune
happily	in an unexpectedly lucky way
sadly	in an unfortunate way
unfortunately	by bad luck
therefore	(used to introduce a logical conclusion) from that fact or reason or as a result
ergo	(used as a sentenced connector) therefore or consequently
hence	from this time
hence	from this place
thence	from that place or from there
thence	from that circumstance or source
therefor	(in formal usage, especially legal usage) for that or for it
vocationally	affecting the pursuit of a vocation or occupation
face_to_face	involving close contact
one-on-one	(of two persons) in direct encounter
face-to-face	within each other's presence
face-to-face	directly facing each other
vis-a-vis	face-to-face
tete_a_tete	without the intrusion of a third person
if_not	perhaps
else	(usually used with `or') if not, then
else	additional to or different from this one or place or time or manner
beyond	in addition
beyond	farther along in space or time or degree
beyond	on the farther side from the observer
otherwise	in other respects or ways
additionally	by way of addition
extremely	to an extreme degree
drop-dead	extremely
beyond_measure	in excess or without limit
madly	(used as intensives) extremely
inordinately	extremely
by_far	by a considerable margin
head_and_shoulders_above	outstandingly superior to
excessively	to an excessive degree
besides	in addition
eventually	within an indefinite time or at an unspecified future time
ultimately	as the end result of a succession or process
finally	after a long period of time or an especially long delay
presently	at this time or period
nowadays	in these times
immediately	without delay or hesitation
now	used to preface a command or reproof or request
now	at the present moment
now	in the historical present
now	in the immediate past
now	(prefatory or transitional) indicates a change of subject or activity
now_now	interjection of rebuke
aggressively	in an aggressive manner
shrilly	in a shrill voice
steadily	at a steady rate or pace
happily	in a joyous manner
unhappily	in an unpleasant way
no	referring to the degree to which a certain quality is present
firm	with resolute determination
squarely	with firmness and conviction
squarely	firmly and solidly
squarely	in a square shape
squarely	directly and without evasion
directly	without deviation
squarely	in a straight direct way
due	directly or exactly
variously	in diverse ways
indefatigably	with indefatigable energy
biradially	in a biradial manner
bitterly	in a resentful manner
bitterly	indicating something hard to accept
very_well	an expression of agreement normally occurring at the beginning of a sentence
all_right	without doubt (used to reinforce an assertion)
swiftly	in a swift manner
openly	in an open way
practically	in a practical manner
practically	almost
presumably	by reasonable assumption
pyramidically	in a pyramidal manner or shape
next	at the time or occasion immediately following
for_the_moment	temporarily
easily	without question
by_hand	without the use of a machine
by_machine	with the use of a machine
hand_to_hand	at close quarters
hand_to_mouth	with barely enough money for immediate needs
terribly	used as intensifiers
terribly	in a terrible manner
acceptably	in an acceptable (but not outstanding) manner
unacceptably	to an unacceptable degree
abusively	in an abusive manner
admiringly	with admiration
adoringly	with adoration
adroitly	in an adroit manner
maladroitly	in a maladroit manner
dreadfully	of a dreadful kind
greatly	to an extraordinary extent or degree
drastically	in a drastic manner
at_all	in the slightest degree or in any respect
by_all_means	definitely or certainly
by_no_means	definitely not
thoroughly	in an exhaustive manner
thoroughly	in a complete and thorough manner (`good' is sometimes used informally for `thoroughly')
through	throughout the entire extent
soundly	deeply or completely
right	exactly
directly	in a forthright manner
indirectly	not in a forthright manner
indigenously	in an indigenous manner
individualistically	in an individualistic manner
intractably	in an intractable manner
man-to-man	directly
secondhand	by indirect means
thirdhand	by doubly indirect means
much	to a great degree or extent
a_lot	to a very great degree or extent
much	frequently or in great quantities
better	comparative of `well'
increasingly	advancing in amount or intensity
effectively	in actuality or reality or fact
de_facto	in reality or fact
for_all_practical_purposes	in every practical sense
reproducibly	in a manner that is reproducible
previously	at an earlier time or formerly
earlier	earlier in time
subsequently	happening at a time subsequent to a reference time
abruptly	quickly and without warning
suddenly	happening unexpectedly
presto	suddenly
presto	at a very fast tempo (faster than allegro)
inscriptively	by means of an inscription
inscrutably	in an inscrutable manner
insecticidally	by means of an insecticide
insensately	in an insensate manner
intentionally	with intention
unintentionally	without intention
consequently	(sentence connectors) because of the reason given
accordingly	in accordance with
alternatively	in place of, or as an alternative to
let_alone	much less
a_fortiori	with greater reason
altogether	with everything included or counted
all_together	used of a group whose members acted or were acted upon collectively and when `all' and `together' can be separated by other words
anatomically	with respect to anatomy
blindly	without preparation or reflection
chromatically	with respect to color
chronologically	with respect to chronology
clinically	in a clinical manner
punctually	at the proper time
mathematically	with respect to mathematics
meanwhile	during the intervening time
meanwhile	at the same time but in another place
twice	two times
largely	on a large scale
largo	slowly and broadly
lengthily	in a lengthy or prolix manner
last	more recently than any other time
last	the item at the end
last_but_not_least	in addition to all the foregoing
lastingly	in an enduring or permanent manner
absently	in an absentminded or preoccupied manner
accusingly	in an accusing manner
affectedly	in an affected manner
affectingly	in a poignant or touching manner
ahead	at or in the front
ahead	ahead of time
ahead	in a forward direction
ahead	leading or ahead in a competition
ahead	to a different or a more advanced time (meaning advanced either toward the present or toward the future)
ahead	to a more advanced or advantageous position
all_along	all the time or over a period of time
along	with a forward motion
along	in accompaniment or as a companion
along	in addition (usually followed by `with')
along	to a more advanced state
along	in line with a length or direction (often followed by `by' or `beside')
on	indicates continuity or persistence or concentration
on	in a state required for something to function or be effective
alike	in a like manner
alike	equally
aloud	using the voice
loudly	with relatively high volume
softly	with low volume
faintly	to a faint degree or weakly perceived
analogously	in an analogous manner
randomly	in a random manner
around	in circumference
about	in the area or vicinity
nearby	not far away in relative terms
round	from beginning to end
around	by a circular or circuitous route
around	in a circle or circular motion
about	all around or on all sides
around	to a particular destination either specified or understood
about	in or to a reversed position or direction
about	to or among many different places or in no particular direction
here_and_there	in or to various places
urgently	with great urgency
about	(of actions or states) slightly short of or not quite accomplished
asexually	in an asexual manner
asymptotically	toward an asymptote
scantily	in a sparse or scanty way
chiefly	for the most part
ago	in the past
back	in or to or toward a past time
back	at or to or toward the back or rear
forward	at or to or toward the front
back	in repayment or retaliation
back	in or to or toward a former location
back	in or to or toward an original condition
back	in answer
ahead	toward the future
aback	by surprise
aback	having the wind against the forward side of the sails
abeam	at right angles to the length of a ship or airplane
backward	in a manner or order or direction the reverse of normal
back_and_forth	moving from one place to another and back again
up_and_down	moving backward and forward along a given course
aurally	with regard to sound or the ear
axially	with respect to an axis
brazenly	in a brazen manner
brilliantly	in an extremely intelligent way
brilliantly	with brightness
catalytically	by catalytic action
commercially	in a commercial manner
dearly	at a great cost
dearly	with affection
dearly	in a sincere and heartfelt manner
conversely	with the terms of the relation reversed
cosmetically	for cosmetic purposes to improve appearance
decoratively	in a decorative manner
covertly	in a covert manner
overtly	in an overt manner
microscopically	by using a microscope
microscopically	as if by using a microscope
undoubtedly	with certainty
statistically	with respect to statistics
thermodynamically	with respect to thermodynamics
tonight	during the night of the present day
actively	in an active manner
passively	in a passive manner
below	at a later place
above	at an earlier place
below	in or to a place that is lower
above	in or to a place that is higher
in_the_bargain	in addition
contemptibly	in a contemptible manner
contemptuously	without respect
contractually	by virtue of a contract
insanely	in an insane manner
sanely	in a sane or lucid manner
comically	in a comical manner
daily	without missing a day
hebdomadally	without missing a week
monthly	without missing a month
annually	without missing a year
curiously	with curiosity
dazzlingly	in a manner or to a degree that dazzles the beholder
deceptively	in a misleading way
yonder	at or in an indicated (usually distant) place (`yon' is archaic and dialectal)
deprecatively	in a deprecative manner
depressingly	in a depressing manner or to a depressing degree
dichotomously	in a dichotomous manner
digitately	in a digitate manner
disruptively	in a disruptive manner
dizzily	in a giddy light-headed manner
dorsally	in a dorsal location or direction
dorsoventrally	in a dorsoventral direction
ventrally	in a ventral location or direction
doubly	to double the degree
singly	one by one
multiply	in several ways
multiplicatively	in a multiplicative manner
doubly	in a twofold manner
empirically	in an empirical manner
particularly	to a distinctly greater extent or degree than is common
ex_cathedra	with the full authority of the office
extra	unusually or exceptionally
elaborately	with elaboration
elsewhere	in or to another place
eschatologically	in relation to eschatology
exasperatingly	in an exasperating manner
experimentally	in an experimental fashion
expressly	with_specific_intentions
expressly	in an explicit manner
facetiously	not seriously
quickly	with rapid movements
fast	quickly or rapidly (often used as a combining form)
flat_out	at top speed
fast	firmly or tightly
quicker	more quickly
slower	more slowly
quickest	most quickly
slowest	most slowly
permissively	in a permissive manner
permissibly	in a permissible manner
impermissibly	not permissibly
flatly	in an unqualified manner
flush	squarely or solidly
flush	in the same plane
everlastingly	for a limitless time
ad_infinitum	to infinity
permanently	for a long time without essential change
in_perpetuity	for an indefinitely long time
in_perpetuity	for life
temporarily	for a limited time only
ad_interim	for an intervening time
ad_lib	without advance preparation
provisionally	temporarily and conditionally
continually	seemingly without interruption
forever	for a very long or seemingly endless time
highly	in a high position or level or rank
highly	to a high degree or extent
highly	at a high rate or wage
histologically	involving the use of histology or histological techniques
magnetically	as if by magnetism
marginally	in a marginal manner
geometrically	in a geometric fashion
perilously	in a dangerous manner
tiredly	in a weary manner
vitally	to a vital degree
energetically	in an energetic manner
strenuously	in a strenuous manner
intently	with strained or eager attention
dingdong	heartily or earnestly
mightily	powerfully or vigorously
reluctantly	with reluctance
hard	with effort or force or vigor
hard	to the full extent possible
hard	slowly and with difficulty
hard	causing great damage or hardship
hard	with firmness
hard	earnestly or intently
hard	with pain or distress or bitterness
hard	very near or close in space or time
hard	into a solid condition
tightly	securely fixed or fastened
briefly	for a short time
momentarily	for an instant or moment
conclusively	in a conclusive way
inconclusively	not conclusively
deplorably	in an unfortunate or deplorable manner
denominationally	with respect to denomination
cortically	with respect to the cortex
focally	in a focal manner
hypothalamically	with respect to the hypothalamus
intradermally	into the skin
intramuscularly	in an intramuscular way
amusingly	in an entertaining and amusing manner
downstairs	on a floor below
upstairs	on a floor above
upstairs	with respect to the mind
downwind	in the direction the wind is blowing
upwind	in the direction opposite to the direction the wind is blowing
windward	away from the wind
leeward	toward the wind
down	spatially or metaphorically from a higher to a lower level or position
down	away from a more central or a more northerly place
down	paid in cash at time of purchase
down	in an inactive or inoperative state
down	to a lower intensity
down	from an earlier time
up	spatially or metaphorically from a lower to a higher position
up	to a later time
up	to a more central or a more northerly place
up	nearer to the speaker
up	to a higher intensity
upriver	toward the source or against the current
downriver	away from the source or with the current
downfield	toward or in the defending team's end of the playing field
downright	thoroughgoing
outright	without reservation or concealment
outright	without restrictions or stipulations or further payments
home	at or to or in the direction of one's home or family
at_home	at, to, or toward the place where you reside
at_home	on the home team's field
home	to the fullest extent
home	on or to the point aimed at
homeward	toward home
rather	on the contrary
insofar	to the degree or extent that
mordaciously	in a mordacious manner
more	used to form the comparative of some adjectives and adverbs
less	used to form the comparative of some adjectives and adverbs
more	comparative of much
less	comparative of little
little	not much
early	before the usual time or the time expected
late	later than usual or than expected
early	in good time
early_on	during an early stage
for_that_matter	as far as that is concerned
afar	(old-fashioned) at or from or to a great distance
far	at or to or from a great distance in space
far	remote in time
far	to a considerable degree
far	at or to a certain point or degree
far	to an advanced stage or point
way	to a great degree or by a great distance
far_and_wide	over great areas or distances
fictitiously	in a fictional manner (created by the imagination)
fictitiously	in a false manner intended to mislead
finely	in a delicate manner
finely	in an elegant manner
first	before anything else
second	in the second place
third	in the third place
throughout	from first to last
initially	at the beginning
at_first_sight	immediately
at_first_blush	as a first impression
first	the initial time
and_so_forth	continuing in the same way
forth	out into view
forth	forward in time or order or degree
abroad	to or in a foreign country
at_heart	in reality
at_large	in a general fashion
at_least	not less than
at_most	not more than
at_least	if nothing else (`leastwise' is informal and `leastways' is colloquial)
at_leisure	in an unhurried way or at one's convenience
right	immediately
just_then	at a particular time in the past
promptly	in a punctual manner
promptly	at once (usually modifies an undesirable occurrence)
promptly	with little or no delay
at_best	under the best of conditions
at_worst	under the worst of conditions
frantically	in an uncontrolled manner
demoniacally	in a very agitated manner
furtively	in a furtive manner
unanimously	of one mind
responsibly	in a responsible manner
irresponsibly	in an irresponsible manner
fairly	without favoring one party, in a fair evenhanded manner
normally	under normal conditions
as_usual	in the usual manner
unusually	to a remarkable degree or extent
recently	in the recent past
erratically	in an erratic unpredictable manner
dominantly	in a dominant fashion
girlishly	like a girl
gradually	in a gradual manner
grimly	in a grim implacable manner
hell-for-leather	at breakneck speed
hereabout	in this general vicinity
here	in or at this place
here	to this place (especially toward the speaker)
here	in this circumstance or respect or on this point or detail
herein	in this place or thing or document
here	at this time
there	in or at that place
there	to or toward that place
there	in that matter
historically	with respect to history
historically	throughout history
peacefully	in a peaceful manner
scientifically	with respect to science
unscientifically	in an unscientific way
humbly	in a humble manner
meekly	in a submissive or spiritless manner
inside	within a building
outside	outside a building
inside	on the inside
outside	on the outside
militarily	with respect to the military
macroscopically	without using a microscope
literally	(intensifier before a figurative expression) without exaggeration
virtually	in essence or effect but not in fact
most	used to form the superlative
least	used to form the superlative
least_of_all	especially not
most	very
mutely	without speaking
internationally	throughout the world
inevitably	in such a manner as could not be otherwise
recently	very recently
afresh	again but in a new or different way
de_novo	from the beginning
differently	in another and different manner
organically	involving carbon compounds
inorganically	not involving carbon compounds
organically	as an important constituent
organically	in an organic manner
invariably	in an invariable manner
unfailingly	without fail
mechanically	in a machinelike manner
mechanically	in a mechanical manner
metabolically	involving metabolism
officially	in an official role
unofficially	not in an official capacity
painfully	unpleasantly
centrally	in or near or toward a center or according to a central role or function
peripherally	in or at or near a periphery or according to a peripheral role or function or relationship
phylogenetically	with regard to phylogeny
physically	in accord with physical laws
physiologically	of or relating to physiological processes
preferably	more readily or willingly
politically	with regard to government
politically	with regard to social relationships involving authority
pornographically	in a pornographic manner
self-indulgently	in a self-indulgent manner
symbiotically	in a symbiotic manner
symbolically	in a symbolic manner
toe-to-toe	in close combat or at close quarters
together	at the same time
together	with cooperation and interchange
in_concert	with a common plan
together	in contact with each other
in_on	participating in or knowledgeable out
together	assembled in one place
jointly	in conjunction with
outrageously	to an extravagant or immoderate degree
outrageously	in a very offensive manner
then	subsequently or soon afterward (often used as sentence connectors)
then	at that time
then	in that case or as a consequence
volumetrically	with respect to volume
so	in a manner that facilitates
regardless	in spite of everything
irregardless	regardless
once	on one occasion
once	at a previous time
though	(postpositive) however
as_far_as_possible	to a feasible extent
on_the_coattails	immediately following or undeservedly benefiting from
on_the_other_hand	(contrastive) from another point of view
on_the_one_hand	from one point of view
successfully	in a successful manner
simultaneously	at the same instant
concurrently	overlapping in duration
systematically	in a systematic or consistent manner
unsystematically	in an unsystematic manner
inconsistently	without showing consistency
thereby	by that means or because of that
thus	in the way indicated
academically	in regard to academic matters
appositively	in an appositive manner
astronomically	enormously
axiomatically	on the basis of axioms
photoelectrically	by photoelectric means
photographically	by photographic means
photometrically	by photometric means
constitutionally	according to the constitution
unconstitutionally	in an unconstitutional manner
democratically	in a democratic manner
undemocratically	in an undemocratic manner
aloof	in an aloof manner
digitally	in terms of integers
digitally	by means of the fingers
economically	with respect to economic science
economically	with respect to the economic system
electronically	by electronic means
ethnically	with respect to ethnicity
federally	by federal government
genetically	by genetic mechanisms
graphically	in a graphic way
ideographically	in an idiographic manner
idyllically	in an idyllic manner
industrially	by industrial means
injuriously	in an injurious manner
irrevocably	in an irrevocable manner
legally	in a legal manner
manually	by hand
medically	involving medical practice
medicinally	in a medicinal manner
nominally	in name only
predicatively	occuring within the predicate phrase
professorially	in a professorial manner
provincially	by the province
realistically	in a realistic manner
red-handed	doing something reprehensible or showing clear evidence of having done something reprehensible
reversibly	in a reversible manner
rewardingly	in a rewarding manner
royally	in a royal manner
sacrilegiously	in a sacrilegious manner
scenically	with respect to stage scenery
scholastically	with respect to scholastic activities
serially	in a serial manner
socially	by or with respect to society
socially	in a social manner
symbolically	by means of symbols
technically	with regard to technical skill
technically	with regard to technique
temporally	with regard to temporal order
terminally	at the end
terrestrially	to a land environment
territorially	with respect to territory
thematically	with regard to thematic content
therapeutically	for therapeutic purposes
geothermally	by means of heat from the interior of the earth
thermally	by means of heat or with respect to thermal properties
typically	in a typical manner
atypically	in a manner that is not typical
verbally	by means of language
verbally	as a verb
vocally	in a vocal manner
nonverbally	without words
globally	throughout the world
electrically	by electricity
chemically	with respect to chemistry
chemically	by the use of chemicals
legislatively	by legislation
bilingually	in a bilingual manner
linearly	in a linear manner
longitudinally	with respect to longitude
magically	in a magical manner
bacterially	by bacteria
relativistically	by the theory of relativity
racially	with respect to race
municipally	by municipality
governmentally	by government
professionally	in a professional manner
spatially	with regard to space
semantically	with regard to meaning
limitedly	in a limited manner
linguistically	with respect to language
sociolinguistically	with respect to sociolinguistics
linguistically	with respect to the science of linguistics
cross-linguistically	by comparing languages
fiscally	in financial matters
algebraically	in an algebraic manner
polyphonically	in a polyphonic manner
poetically	in a poetic manner
phonetically	by phonetics
phonemic	by phonemics
personally	as a person
personally	in the flesh
personally	concerning the speaker
philosophically	in a philosophic manner
infernally	extremely
pathologically	with respect to pathology
graphically	with respect to graphic aspects
catastrophically	with unfortunate consequences
optically	in an optical manner
visually	with respect to vision
viscerally	in the viscera
cerebrally	in the brain
cerebrally	in an intellectual manner
mystically	in a mystical manner
biologically	with respect to biology
sociobiologically	with respect to sociobiology
neurobiological	with respect to neurobiology
biochemically	with respect to biochemistry
musicologically	with respect to musicology
morally	with respect to moral principles
meteorologically	with respect to the weather
metaphysically	in a metaphysical manner
metonymically	in a metonymic manner
melodically	with respect to melody
harmonically	with respect to harmony
acoustically	with respect to acoustics
adulterously	in an adulterous manner
metaphorically	in a metaphorical manner
allegorically	in an allegorical manner
locally	by a particular locality
locally	to a restricted area of the body
regionally	in a regional manner
nationally	with regard to a nation taken as a whole
culturally	with regard to a culture
interracially	by race
chorally	by a chorus
subcutaneously	below the skin
facially	with respect to the face
syntactically	with respect to syntax
spinally	in the spine
sexually	by sexual means
sexually	with respect to sexuality
lexically	by means of words
nonlexically	without the use of words
materially	with respect to material aspects
materially	to a significant degree
surgically	in a surgical manner
operatively	by means of an operative
postoperatively	after the operation
chromatographically	by means of a chromatographic process
alternately	in an alternating sequence or position
transversely	in a transverse manner
respectively	in the order given
similarly	in like or similar manner
secondarily	of secondary import
primarily	of primary import
probably	with considerable certainty
bannerlike	like a banner
dramatically	in a dramatic manner
undramatically	in an undramatic manner
ashore	towards the shore from the water
as_expected	as was to be expected
notably	to a notable extent
intensively	in an intensive manner
appropriately	in an appropriate manner
inappropriately	in an inappropriate manner
inalienably	in an inalienable manner
offshore	away from shore
onshore	on or toward the land
thousand-fold	by three orders of magnitude
naturally	according to nature
artificially	not according to nature
acutely	having a rapid onset
chronically	in a slowly developing and long lasting manner
chronically	in a habitual and longstanding manner
contradictorily	in a contradictory manner
electrostatically	in an electrostatic manner
episodically	in an episodic manner
fabulously	in a fabulous manner
feverishly	in a feverish manner
feudally	in a feudal manner
frontally	in, at, or toward the front
geometrically	with respect to geometry
glacially	by a glacier
glaringly	in a glaring manner
gravitationally	with respect to gravitation
gutturally	in a guttural manner
hieroglyphically	by means of hieroglyphs
homeostatically	in a homeostatic manner
horticulturally	by means of horticulture
humanly	in the manner of human beings
imperially	in an imperial manner
incestuously	by incest
inconceivably	to an inconceivable degree
insistently	in an insistent manner
institutionally	by an institution
judicially	in a judicial manner
nasally	in a nasal manner
nocturnally	at night
rurally	in a rural manner
spherically	in a spherical manner
superficially	in a superficial manner
syllabically	in or with syllables
monosyllabically	in a monosyllabic manner
polysyllabically	in a polysyllabic manner
symptomatically	by symptoms
tangentially	in passing
volcanically	by or like volcanoes
awhile	for a short time
wickedly	in a wicked evil manner
surely	definitely or positively (`sure' is sometimes used informally for `surely')
surprisingly	in a surprising manner
technologically	by means of technology
temperamentally	by temperament
sufficiently	to a sufficient degree
adequately	in an adequate manner
enough	as much as necessary
insufficiently	to an insufficient degree
unhesitatingly	without hesitation
hesitantly	with hesitation
thereafter	from that time on
ever	at any time
sic	intentionally so written (used after a printed word or phrase)
so	to a very great extent or degree
so	(usually followed by `that') to an extent or degree as expressed
so	in such a condition or manner, especially as expressed or implied
so	to a certain unspecified extent or degree
so	in the same way
such	to so extreme a degree
hand_and_foot	in all ways possible
hand_in_hand	clasping each other's hands
hand_over_fist	at a tremendous rate
handily	with no difficulty
easily	with ease (`easy' is sometimes used informally for `easily')
easy	in a relaxed manner
in_hand	under control
out_of_hand	out of control
in_a_way	from some points of view
factually	as a fact or based on fact
in_fact	in reality or actuality
actually	used to imply that one would expect the fact to be the opposite of that stated
actually	in actual fact
actually	as a sentence modifier to add slight emphasis
actually	at the present moment
to_be_sure	admittedly
sure_enough	as supposed or expected
right	an interjection expressing agreement
in_toto	in entirety
in_the_least	to any extent at all
above_all	above and beyond all other consideration
in_absentia	while absent
across_the_board	including all
after_a_fashion	to some extent
after_all	emphasizes something to be considered
after_all	in spite of expectations
after_hours	not during regular hours
against_the_clock	as fast as possible
ahead_of_the_game	in an advantageous position
all_in_all	with everything considered (and neglecting details)
all_of_a_sudden	without warning
all_the_way	to the goal
all_the_way	not stopping short of sexual intercourse
from_start_to_finish	completely
and_how	an expression of emphatic agreement
and_then_some	and considerably more in addition
around_the_clock	without stopping
as_follows	what is listed next
as_it_were	as if it were really so
as_we_say	in a manner of speaking
as_the_crow_flies	by the shortest and most direct route
at_all_costs	regardless of the cost involved
at_a_time	simultaneously
at_will	as one chooses or pleases
loosely	knitted in a loose manner
carefully	taking care or paying attention
mindfully	in a careful deliberate manner
unmindfully	in a careless and thoughtless manner
excitedly	in an excited manner
vociferously	in a vociferous manner
safely	with safety
allegedly	according to what has been alleged
purportedly	believed or reputed to be the case
illegally	in an illegal manner
originally	in an original manner
unoriginally	in an unoriginal manner
comfortably	in mental comfort
comfortably	in physical comfort
uncomfortably	in physical discomfort
