long	having or being more than normal or necessary:"long on brains"
overabundant	excessively abundant
plentiful	existing in great number or quantity
rampant	(of a plant) having a lush and unchecked growth
rank	growing profusely
superabundant	most excessively abundant
teeming	abundantly filled with especially living things
torrential	pouring in abundance
verdant	characterized by abundance of verdure
well_endowed	having plentiful supplies of a resource
scarce	deficient in quantity or number compared with the demand
rare	not widely distributed
tight	affected by scarcity and expensive to borrow
abused	subjected to cruel treatment
battered	exhibiting symptoms resulting from repeated physical and emotional injury
unabused	not physically abused
acceptable	worthy of acceptance or satisfactory
bankable	acceptable to or at a bank
unexceptionable	completely acceptable
unobjectionable	not objectionable
unacceptable	not acceptable
exceptionable	liable to objection or debate
approved	generally or especially officially judged acceptable or satisfactory
disapproved	not approved
censured	officially and strongly disapproved
marginal	being close to a lower limit or or of lower class
rejected	something or someone judged unacceptable
accessible	capable of being reached
approachable	easily approached
come-at-able	capable of being reached or attained
convenient	easy to reach
in_hand(p)	accessible at the present time
inaccessible	capable of being reached only with great difficulty or not at all
outback(a)	inaccessible and sparsely populated;
deserted	remote from civilization
pathless	lacking pathways
lonely(a)	remote or secluded
unapproachable	inaccessibly located or situated
un-come-at-able	difficult to reach or attain
accommodating	helpful in bringing about a harmonious adaptation
complaisant	showing a cheerful willingness to do favors for others
unaccommodating	not accommodating
disobliging	intentionally unaccommodating
accurate	conforming exactly or almost exactly to fact or to a standard or performing with total accuracy
close	marked by fidelity to an original
dead-on(a)	accurate and to the point
high-fidelity	characterized by minimal distortion in sound reproduction
surgical	performed with great precision
straight	right
true	accurately placed or thrown
veracious	precisely accurate
inaccurate	not accurate
away	(of a baseball pitch) on the far side of home plate from the batter
faulty	characterized by errors
unfaithful	not trustworthy
wide	not on target
accustomed	(often followed by `to') in the habit of or adapted to
used_to(p)	in the habit
unaccustomed	not habituated to
new	 unfamiliar
unused	infrequently exposed to
acidic	being or containing an acid
acid	having the characteristics of an acid
acid-forming	yielding an acid in aqueous solution
alkaline	relating to or containing an alkali
alkalescent	tending to become alkaline
basic	of or denoting or of the nature of or containing a base
base-forming	yielding a base in aqueous solution
saltlike	resembling a compound formed by replacing hydrogen in an acid by a metal
amphoteric	having characteristics of both an acid and a base and capable of reacting as either
acid-loving	thriving in a relatively acidic environment (especially of plants requiring a pH well below 7)
acidophilic	especially of some bacteria
alkaline-loving	thriving in a relatively alkaline environment
acknowledged	recognized or made known or admitted
accepted	generally approved or compelling recognition
self-confessed(a)	owned up to
assumed	accepted as real or true without proof
declarable	that must be declared
given	acknowledged as a supposition
putative(a)	commonly put forth or accepted as true on inconclusive grounds
unacknowledged	not recognized or admitted
disowned	any connection is denied
unappreciated	having value that is not acknowledged
unavowed	not openly made known
unconfessed	not admitted
unrecognized	not recognized
acquisitive	eager to acquire and possess things especially material possessions or ideas
accumulative	marked by acquiring or amassing
avaricious	immoderately desirous of acquiring e.g. wealth
possessive	desirous of owning
plundering	given to taking by force what is desired
predaceous	living by or given to victimizing others for personal gain
rapacious	excessively greedy and grasping
sordid	meanly avaricious and mercenary
unacquisitive	not acquisitive
acropetal	of leaves or flowers
basipetal	of leaves or flowers
active	characterized by energetic activity
about(p)	on the move
acrobatic	vigorously active
agile	moving quickly and lightly
hot	marked by excited activity
hyperactive	more active than normal
lively	characterized by energetic activity
on_the_go(p)	(of a person) very busy and active
sporty	appropriate for sport or engagement in a sport
inactive	not active physically or mentally
desk-bound	restricted to working in an office rather than in an active physical capacity
dormant	inactive but capable of becoming active
hypoactive	abnormally inactive
inert	slow and apathetic
sedentary	requiring sitting or little activity
active	engaged in full-time work
activated	set up and placed on active assignment
inactive	not engaged in full-time work
off	not performing or scheduled for duties
on_leave	absent with permission from work or duty
retired	no longer active in your work or profession
active	full of activity or engaged in continuous activity
brisk	very active
bustling	full of energetic and noisy activity
busy	crowded with or characterized by much activity
going(a)	in full operation
open	ready for business
springy	(of movements) light and confidently active
inactive	lacking activity
dark	not giving performances
dead	devoid of activity
dull	(of business) not active or brisk
idle	not in active use
strikebound	closed or immobilized by a strike
active	tending to become more severe or wider in scope
progressive	advancing in severity
inactive	not progressing or increasing
arrested	having development checked or reversed
dead-end	lacking opportunities for development or advancement
flat	commercially inactive
indolent	(of tumors e.g) slow to heal or develop and usually painless
latent	not presently active
quiescent	causing no symptoms
active	disposed to take action or effectuate change
activist	advocating or engaged in activism
hands-on	involving active participation
proactive	(of a policy or person or action) controlling a situation by causing something to happen rather than waiting to respond to it after it happens
passive	lacking in energy or will
hands-off	not involving participation or intervention
resistless	offering no resistance
active	(of e.g. volcanos) erupting or liable to erupt
eruptive	actively spewing out lava
dormant	of e.g. volcanos
quiescent	being quiet or still or inactive
extinct	(of e.g. volcanos) permanently inactive
dead	physically inactive
active	(of e.g. volcanos) capable of erupting
alive	capable of erupting
active	expressing action rather than a state of being
stative	expressing existence or a state rather than an action
active	expressing that the subject of the sentence has the semantic function of actor: "Hemingway favors active constructions"
passive	expressing that the subject of the sentence is the patient of the action denoted by the verb
active	exerting influence or producing a change or effect
activated	rendered active
counteractive	opposing or neutralizing or mitigating an effect by contrary action
surface-active	capable of lowering the surface tension of a liquid
inactive	not exerting influence or change
quiescent	not active or activated
active	of the sun
quiet	of the sun
actual	presently existing in fact and not merely potential or possible
actualized	changed from potential to actual
effective	existing in fact
potential	existing in possibility
latent	potentially existing but not presently evident or realized
acute	having or experiencing a rapid onset and short but severe course
subacute	less than acute
chronic	being long-lasting and recurrent or characterized by long suffering
degenerative	(of illness) marked by gradual deterioration of organs and cells along with loss of function
prolonged	(of illness) developing slowly or of long duration
virulent	infectious
highly_infective	(of a microorganism) extremely infective
deadly	(of a disease) having a rapid course and violent effect
avirulent	not virulent
adaptive	having a capacity for adaptation
accommodative	tending to reconcile or accommodate
adaptational	of or relating to adaptation
adjustive	conducive to adjustment
maladaptive	showing faulty adaptation
dysfunctional	(of a trait or condition) failing to serve an adjustive purpose
maladjustive	poorly adjusted
addicted	compulsively or physiologically dependent on something habit-forming
alcoholic	addicted to alcohol
confirmed	having a habit of long standing
dependent	addicted to a drug
unaddicted	not addicted
clean	free of drugs
addictive	causing or characterized by addiction
nonaddictive	not causing or characterized by addiction
additive	characterized or produced by addition
accumulative	increasing by successive addition
addable	capable of being added or added to
extra	further or added
complemental	acting as or providing a complement (something that completes the whole)
incremental	increasing gradually by regular degrees or additions
intercalary	having a day or month inserted to make the calendar year correspond to the solar year: "Feb. 29 is an intercalary day"
summational	of or relating to a summation or produced by summation
supplementary	added to complete or make up a deficiency
subtractive	constituting or involving subtraction
ablative	tending to ablate
reductive	characterized by or causing diminution or curtailment
addressed	(of mail) marked with a destination
self-addressed	addressed to yourself
unaddressed	not addressed
adequate	(sometimes followed by `to') meeting the requirements especially of a task
adequate_to(p)	having the requisite qualities for
competent	adequate for the purpose
inadequate	(sometimes followed by `to') not meeting the requirements especially of a task
deficient	inadequate in amount or degree
incapable	not meeting requirements
short-handed	inadequate in number of workers or assistants etc.
adhesive	tending to adhere
adherent	sticking fast
agglutinate	united as if by glue
bondable	capable of holding together or cohering
coherent	sticking together
cohesive	causing cohesion
gluey	having the sticky properties of an adhesive
gooey	soft and sticky
gum-like	resembling chewing gum
gummed	treated with an adhesive gum
pitchy	having the characteristics of pitch or tar
self-sealing	seals without the application of moisture
stick-on	of something (a paper label or postage stamp) gummed in advance
sticky	covered with an adhesive material
nonadhesive	not tending to adhere
nonglutinous	not resembling glue in texture
nonresinous	not having resin
ungummed	not treated with adhesive gum
adjective	relating to court practice and procedure as opposed to the principles of law  
substantive	defining rights and duties as opposed to giving the rules by which rights and duties are established
adoptable	suitable or eligible for adoption
unadoptable	difficult to place in an adoptive home
adorned	provided with something intended to increase its beauty or distinction
beaded	covered with beads or jewels or sequins
bedaubed	ornamented in a vulgar or showy fashion
bespectacled	wearing, or having the face adorned with, eyeglasses or an eyeglass
braided	adorned with braid
brocaded	embellished with a raised pattern created by pressure or embroidery
buttony	ornamented with many buttons
carbuncled	set with carbuncles
champleve	(for metals) having areas separated by metal and filled with colored enamel and fired
enameled	covered with or as if with a glossy and usually brightly colored coating
clinquant	glittering with gold or silver
crested	(of a knight's helmet) having a decorative plume
crested	(of a bird or animal) having a usually ornamental tuft or process on the head
crested	bearing an heraldic device
crocketed	(of a gable or spire) furnished with a crocket (an ornament in the form of curved or bent foliage)
embellished	rich in decorative detail
embroidered	adorned with embroidery
encircled	adorned or crowned with a circlet
fancied_up	with superficial adornments added
feathery	adorned with feathers or plumes
frilled	having decorative ruffles or frills
fringed	having a decorative edging of hanging cords or strips
gilt-edged	having gilded edges as the pages of a book
hung	(usually followed by `with' or used in a combining form) having items suspended on or from a support
inflamed	adorned with tongues of flame
inlaid	adorned by inlays
inwrought	having a decorative pattern worked or woven in
laced	trimmed or decorated with lace
mosaic	decorated with small pieces of colored glass or stone fitted together
mounted	decorated with applied ornamentation
paneled	fitted or decorated with panels or wainscoting
studded	dotted or adorned with or as with studs or nailheads
tapestried	hung or decorated with tapestry
tasseled	fringed or adorned with tassels
tricked-out	decorated in a particular way
tufted	having or adorned with tufts
unadorned	not decorated with something to increase its beauty or distinction
plain	lacking embellishment or ornamentation
untufted	not adorned with tufts
cholinergic	releasing or activated by acetylcholine or a related compound
anticholinergic	inhibiting or blocking the action of acetylcholine at a receptor site
adroit	quick or skillful or adept in action or thought
clean	free from clumsiness
clever	showing inventiveness and skill
coordinated	being dexterous in the use of more than one set of muscle movements
deft	skillful in physical movements
handy	skillful with the hands
light-fingered	having nimble fingers literally or figuratively
quick-witted	mentally nimble and resourceful
maladroit	not adroit
bumbling	lacking physical movement skills,  especially with the hands
inept	revealing lack of perceptiveness or judgment or finesse
uncoordinated	lacking the skillful and effective  interaction of  muscle movements 
unmechanical	(of a person) lacking mechanical skills
advancing	moving ahead or toward the front
forward	moving toward a position ahead
retreating	moving back or away
receding	moving toward a position farther from the front
withdrawing	forced withdrawal
advantageous	giving an advantage
beneficial	promoting or enhancing well-being
plus	involving advantage or good
profitable	promoting benefit or gain
discriminatory	manifesting partiality
disadvantageous	constituting a disadvantage
minus	involving disadvantage or harm
adventurous	willing to undertake or seeking out new and daring enterprises
audacious	disposed to venture or take risks
sporting	involving risk or willingness to take a risk
swaggering	flamboyantly adventurous
unadventurous	lacking in boldness
safe	(of an undertaking) secure from risk
advisable	worthy of being recommended or suggested
better(p)	(comparative and superlative of `well') wiser or more advantageous and hence advisable
recommended	mentioned as worthy of acceptance
well(p)	wise or advantageous and hence advisable
inadvisable	not prudent or wise
well-advised	having the benefit of careful prior consideration or counsel
considered	carefully weighed
ill-advised	without careful prior deliberation or counsel
aerobic	depending on free oxygen or air
aerobiotic	living or active only in the presence of oxygen
oxidative	taking place in the presence of oxygen
anaerobic	living or active in the absence of free oxygen
aerobic	based on or using the principles of aerobics
anaerobic	not aerobic
aesthetic	concerning or characterized by an appreciation of beauty or good taste
artistic	satisfying aesthetic standards and sensibilities
beautiful	aesthetically pleasing
cosmetic	serving an aesthetic purpose in beautifying the body
painterly	having qualities unique to the art of painting
sensuous	taking delight in beauty
inaesthetic	violating aesthetic canons or requirements
inartistic	lacking aesthetic sensibility;
affected	acted upon
impressed(p)	deeply or markedly affected or influenced
smitten	(used in combination) affected by something overwhelming
stage-struck	infatuated with or enthralled by the theater especially the desire to act
subject	likely to be affected by something (especially something unpleasant)
taken	be affected with an indisposition
wonder-struck	affected by or overcome with wonder
unaffected	undergoing no change when acted upon
immune	(usually followed by `to') not affected by a given influence
superior(p)	(often followed by `to') above being affected or influenced by
unimpressed	not moved to serious regard
uninfluenced	not influenced or affected
affected	speaking or behaving in an artificial way to make an impression
agonistic	struggling for effect
artificial	artificially formal
constrained	lacking spontaneity
elocutionary	(used of style of speaking) overly embellished
mannered	having unnatural mannerisms
plummy	(of a voice) affectedly mellow and rich
unaffected	free of artificiality
lifelike	free from artificiality
unmannered	without artificiality
unselfconscious	not self-conscious
unstilted	flowing naturally and continuously
affirmative	affirming or giving assent
assentient	expressing agreement or consent
negative	expressing or consisting of a negation or refusal or denial
dismissive	tending to dismiss or reject
dissentient	disagreeing, especially with a majority
acceptive	inclined to accept rather than reject
accepting	tolerating without protest
rejective	rejecting or tending to reject
repudiative	rejecting emphatically
afloat(p)	borne on the water
adrift(p)	afloat on the surface of a body of water
floating	borne up by or suspended in a liquid
waterborne	supported by water
aground(p)	on a shore or reef
beached	on a beach
shipwrecked	aground as a consequence of a shipwreck
stranded	with the bottom lodged on a reef or shoal in shallow water
sunken	under water
drowned	dead by drowning
swamped	sunk by being filled with water
afraid(p)	filled with fear or apprehension
acrophobic	suffering from acrophobia
afeard(p)	a pronunciation of afraid
aghast(p)	struck with fear, dread, or consternation
agoraphobic	suffering from agoraphobia
alarmed	experiencing a sudden sense of danger
algophobic	suffering from algophobia
apprehensive	in fear or dread of possible evil or harm
browbeaten	frightened into submission or compliance
claustrophobic	suffering from claustrophobia
fearful	experiencing or showing fear
frightened	made afraid
horrified	stricken with horror
hunted	reflecting the fear or terror of one who is hunted
hydrophobic	abnormally afraid of water
mysophobic	suffering from mysophobia
panicky	thrown into a state of intense fear or desperation
petrified	so frightened as to be unable to move
shitless	extremely frightened
terror-stricken	struck or filled with terror
triskaidekaphobic	suffering from triskaidekaphobia (abnormal fear of the number 13)
unnerved	deprived of courage and strength
white-lipped	having white lips from fear or terror
xenophobic	suffering from xenophobia
unafraid(p)	oblivious of dangers or perils or calmly resolute in facing them
unapprehensive	not recognizing or slow to recognize danger
unblinking	not shrinking from danger
unfrightened	not affected by fright
aggressive	having or showing determination and energetic pursuit of your ends
assertive	confidently aggressive
battleful	having or showing a ready disposition to fight
competitive	showing a fighting disposition
hard-hitting	aggressively and persistently persuasive
hostile	unsolicited and resisted by the management of the target company ( used of attempts to buy or take control of a business)
in-your-face	blatantly aggressive
obstreperous	boisterously and noisily aggressive
predatory	living by preying on other animals especially by catching living prey
pugnacious	ready and able to resort to force or violence
scrappy	full of fighting spirit
truculent	defiantly aggressive
unaggressive	not aggressive
low-pressure	not forceful
agitated	troubled emotionally and usually deeply
aroused	(of persons) excessively affected by emotion
demoniac	resembling or suggesting possession by a demon
distraught	deeply agitated especially from emotion
jolted	disturbed psychologically as if by a physical jolt or shock
feverish	marked by intense agitation or emotion
frantic	excessively agitated
hysterical	marked by excessive or uncontrollable emotion
psychedelic	(of a mental state) characterized by intense and distorted perceptions and hallucinations and feelings of euphoria or sometimes despair
wild-eyed	appearing extremely agitated
unagitated	not agitated or disturbed emotionally
agitated	physically disturbed or set in motion
bubbling	covered with or resembling small bubbles as from being agitated by beating or heating
churning	(of a liquid) agitated vigorously
churning	moving with or producing or produced by vigorous agitation
jolted	bumped or shaken jerkily
rippled	shaken into waves or undulations as by wind
seething	in constant agitation
stirred	set into a usually circular motion in order to mix or blend
unagitated	not physically disturbed or set in motion
nonturbulent	(of a liquid) not turbulent
unstirred	not agitated by stirring
agreeable	conforming to your own liking or feelings or nature
disagreeable	not to your liking
annoying	causing irritation or annoyance
harsh	sharply disagreeable
nerve-racking	extremely irritating to the nerves
unsweet	distasteful
air-to-surface	operating from or designed to be fired from aircraft at targets on the ground
air-to-air	operating between or launched from or involving rockets or aircraft in flight
surface-to-air	operating from or designed to be launched from the ground against an airborne target
alert	very attentive or observant
argus-eyed	carefully observant or attentive
fly	(British informal) not to be deceived or hoodwinked
heads-up	fully alert and watchful
lidless	without having the eyes closed or covered by the eyelids
on_the_alert(p)	watchful and prepared for action
unalert	not alert or attentive
algorithmic	of or relating to or having the characteristics of an algorithm
recursive	of or relating to a recursion
heuristic	of or relating to or using a general formulation that serves to guide investigation
trial-and-error	relating to solving problems by experience rather than theory
alienable	transferable to another owner
appropriable	that can be appropriated
assignable	legally transferable to the ownership of another
inalienable	incapable of being repudiated or transferred to another
absolute	not capable of being violated or infringed
non-negotiable	cannot be bought or sold
nontransferable	incapable of being transferred
alive(p)	possessing life
liveborn	(of newborn infant) showing signs of life after birth
viable	capable of life or normal growth and development
vital	manifesting or characteristic of life
dead	no longer having or seeming to have or expecting to have life
asleep(p)	dead
assassinated	murdered by surprise attack for political reasons
bloodless	destitute of blood or apparently so
brain_dead	having irreversible loss of brain function as indicated by a persistent flat electroencephalogram
breathless	appearing dead
cold	lacking the warmth of life
d.o.a.	abbreviation for `dead on arrival' at the emergency room
deathlike	having the physical appearance of death
defunct	having ceased to exist or live
doomed	marked for certain death
executed	put to death as punishment
fallen	killed in battle
late(a)	having died recently
lifeless	deprived of life
murdered	killed unlawfully
nonviable	not capable of living or developing successfully
slain	killed
stillborn	(of newborn infant) showing no signs of life at birth
stone-dead	as lifeless as a stone
apocrine	(of exocrine glands) producing a secretion in which part of the secreting cell is released with the secretion
eccrine	(of exocrine glands) producing a clear aqueous secretion without releasing part of the secreting cell
artesian	(of water) rising to the surface under internal hydrostatic pressure
subartesian	(of water) rising naturally in a well to a height appreciably above that of the surrounding water table but not flowing out of the well
live	exerting force or containing energy
in_play(p)	of a ball
living(a)	(used of minerals or stone) in its natural state and place
dead	not showing characteristics of life especially the capacity to sustain life
barren	incapable of sustaining life
extinct	 being out or having grown cold
lifeless	not having the capacity to support life
out_of_play(p)	(of a ball) "a ball that is out of play is dead"
alphabetic	arranged in order according to the alphabet
abecedarian	alphabetically arranged (as for beginning readers)
alphabetized	having been put in alphabetical order
analphabetic	not alphabetic
altricial	(of hatchlings) naked and blind and dependent on parents for food
precocial	(of hatchlings) covered with down and having eyes open
altruistic	showing unselfish concern for the welfare of others
egoistic	limited to or caring only about yourself and your own needs
self-absorbed	absorbed in your own interests or thoughts etc
ambiguous	having more than one possible meaning
double-barreled	having two purposes
double-edged	capable of being interpreted in two usually contradictory ways
enigmatic	resembling an oracle in obscurity of thought
left-handed	ironically ambiguous
multivalent	having many values, meanings, or appeals
polysemous	of words
uncertain	ambiguous (especially in the negative)
unambiguous	having or exhibiting a single clearly defined meaning
monosemous	having only one meaning
ambitious	having a strong desire for success or achievement
pushful	marked by aggressive ambition and energy and initiative
aspirant	desiring or striving for recognition or advancement
compulsive	strongly motivated to succeed
manque	unfulfilled or frustrated in realizing an ambition
overambitious	excessively ambitious
unambitious	having little desire for success or achievement
shiftless	lacking or characterized by lack of ambition or initiative
ametropic	of or relating to an abnormal condition of the eye in which visual images are not in focus on the retina
emmetropic	of or relating to the normal condition of the eye in which visual images are in clear focus on the retina
ample	more than enough in size or scope or capacity
full	having the normally expected amount
generous	more than adequate
wide	having ample fabric
meager	deficient in amount or quality or extent
bare(a)	lacking in amplitude or quantity
exiguous	extremely scanty
hand-to-mouth(a)	providing only bare essentials
hardscrabble	of a bare living gained by great labor
measly	contemptibly small in amount
animal	of the nature of or characteristic of or derived from an animal or animals
alligator-like	resembling an alligator
amoeba-like	resembling an amoeba
animallike	resembling or having characteristics of an animal
antelope-like	resembling an antelope
ant-like	resembling an ant
arachnid-like	resembling an arachnid
badger-like	resembling a badger
beaver-like	resembling a beaver
bee-like	resembling a bee
birdlike	resembling a bird
carp-like	resembling a carp
catlike	resembling a cat
cicada-like	resembling a cicada
cod-like	resembling a cod
cow-like	resembling a cow
cranelike	resembling a crane
cricket-like	resembling a cricket
crocodile-like	resembling a crocodile
dace-like	resembling a dace
deer-like	resembling a deer
dinosaur-like	resembling a dinosaur
duck-like	resembling a duck
eaglelike	resembling an eagle
elephant-like	resembling an elephant
ferret-like	resembling a ferret
finch-like	resembling a finch
fishlike	resembling a fish
foxlike	resembling a fox
frog-like	resembling a frog
goat-like	resembling a goat
grub-like	resembling a grub
gull-like	resembling a gull
hare-like	resembling a hare
hawklike	resembling a hawk
herring-like	resembling a herring
horselike	resembling a horse
insectlike	resembling an insect
lizard-like	resembling a lizard
lobster-like	resembling a lobster
mammal-like	resembling a mammal
mongoose-like	resembling a mongoose
monkey-like	resembling a monkey
mosquito-like	resembling a mosquito
moth-like	resembling a moth
mullet-like	resembling a mullet
ostrich-like	resembling an ostrich
perch-like	resembling a perch
pigeon-like	resembling a pigeon
pig-like	resembling a pig
pike-like	resembling the pike
plover-like	resembling a plover
protozoa-like	resembling a protozoa
quail-like	resembling a quail
raccoon-like	resembling a raccoon
ray-like	resembling a ray
reptile-like	resembling a reptile
rodent-like	resembling a rodent
salmon-like	resembling a salmon
sandpiper-like	resembling a sandpiper
scorpion-like	resembling a scorpion
shad-like	resembling the shad
shrike-like	resembling a shrike
shrimp-like	resembling a shrimp
siskin-like	resembling a siskin
sloth-like	resembling a sloth
snake-like	resembling a snake
snail-like	resembling a snail
sparrow-like	resembling a sparrow
spitz-like	resembling a spitz
squirrel-like	resembling a squirrel
starfish-like	resembling a starfish
stork-like	resembling a stork
tadpole-like	resembling a tadpole
thrush-like	resembling a thrush
troutlike	resembling a trout
tuna-like	resembling a tuna
turkey-like	resembling a turkey
vole-like	resembling a vole
whippoorwill-like	resembling a whippoorwill
vegetable	of the nature of or characteristic of or derived from plants
banana-like	resembling a banana
bean-like	resembling beans
blackberry-like	resembling blackberries
branchlike	resembling branches
cabbage-like	resembling cabbage
cherry-like	resembling cherries
crabapple-like	resembling a crabapple
garlic-like	resembling garlic
gooseberry-like	resembling gooseberries
gourd-like	resembling a gourd
melon-like	resembling a melon
mosslike	resembling moss
mushroom-shaped	resembling a mushroom
onion-like	resembling an onion
parsley-like	resembling parsley
plant-like	resembling a plant
plum-shaped	resembling a plum
rooted	having roots of a specified sort
rootlike	looking or acting like a root
seedlike	resembling a seed
seed-producing	producing seeds
stalklike	resembling a stalk or stem
tomato-like	resembling a tomato
vegetal	composed of vegetation or plants
mineral	of or containing or derived from minerals
asphaltic	containing asphalt
mineralized	containing or impregnated with minerals
petrified	converted into a mineral
anabolic	characterized by or promoting constructive metabolism
constructive-metabolic	of or relating to anabolism
catabolic	characterized by destructive metabolism
destructive-metabolic	of or relating to catabolism
anaclinal	of valleys and rivers
cataclinal	of valleys and rivers
anastigmatic	not astigmatic
astigmatic	of or relating to a defect in the eye or in a lens caused by a deviation from spherical curvature which prevents light rays from meeting at a common focus and so results in distorted images
anticlinal	sloping downward away from a common crest
synclinal	sloping downward toward each other to create a trough
anadromous	migrating from the sea to fresh water to spawn
catadromous	migrating from fresh water to the sea to spawn
diadromous	(used of fish) migratory between fresh and salt waters
anabatic	of an air current or wind
katabatic	of an air current or wind
anal	a stage in psychosexual development when the child's interest is concentrated on the anal region
oral	a stage in psychosexual development when the child's interest is concentrated in the mouth
analogue	of a circuit or device having an output that is proportional to the input
digital	of a circuit or device that represents magnitudes in digits
analytic	of a proposition that is necessarily true independent of fact or experience
synthetic	of a proposition whose truth value is determined by observation or facts
analytic	expressing a grammatical category by using two or more words rather than inflection
isolating(a)	relating to or being a language in which each word typically expresses a distinct idea and part of speech and syntactical relations are determined almost exclusively by word order and particles
synthetic	systematic combining of root and modifying elements into single words
agglutinative	forming derivative or compound words by putting together constituents each of which expresses a single definite meaning
analytic	using or skilled in using analysis (i.e., separating a whole--intellectual or substantial--into its elemental parts or basic principles)
synthetic	involving or of the nature of synthesis (combining separate elements to form a coherent whole) as opposed to analysis
inflectional	characterized by inflections indicating grammatical distinctions
derivational	characterized by inflections indicating a semantic relation between a word and its base
apocarpous	(of ovaries of flowering plants) consisting of carpels that are free from one another as in buttercups or roses
syncarpous	(of ovaries of flowering plants) consisting of united carpels
angry	feeling or showing anger
aggravated	incited, especially deliberately, to anger
angered	marked by extreme anger
black	marked by anger or resentment or hostility
choleric	characterized by anger
hot_under_the_collar(p)	very angry
huffy	roused to anger
indignant	angered at something unjust or wrong
irate	feeling or showing extreme anger
livid	furiously angry
smoldering	showing scarcely suppressed anger
wrathful	vehemently incensed and condemnatory
unangry(p)	not angry
resentful	full of or marked by resentment or indignant ill will
acrimonious	marked by strong resentment or cynicism
rancorous	showing deep-seated resentment
unresentful	not resentful
unbitter	having or showing no resentment or desire for revenge
sentient	endowed with feeling and unstructured consciousness
sensate	having physical sensation
insentient	devoid of feeling and consciousness and animation
unfeeling	devoid of feeling or sensation
animate	endowed with animal life as distinguished from plant life
inanimate	not endowed with life
nonconscious	relating to the lack of consciousness of inanimate things
animated	having life or vigor or spirit
enlivened	made lively or spirited
full_of_life	full of spirit
reanimated	given fresh life or vigor or spirit
unanimated	not animated or enlivened
dead	lacking animation or excitement or activity
wan	lacking vitality as from weariness or illness or unhappiness
enlivened	made sprightly or cheerful
perked_up	made or become more cheerful or lively
unenlivened	not made lively or brightened
animate	belonging to the class of nouns that denote living beings
inanimate	belonging to the class of nouns denoting nonliving things
anonymous	having no known name or identity or known source
nameless	being or having an unknown or unnamed source
onymous	bearing a name
named	bearing the author's name
pseudonymous	bearing or identified by an assumed (often pen) name
antemortem	preceding death
postmortem	occurring or done after death
antecedent	preceding in time or order
anterior	earlier in time
anticipatory	in anticipation
preexistent	existing previously or before something
subsequent	following in time or order
consequent	following as an effect or result
future(a)	coming at a subsequent time or stage
antrorse	bent or curved forward or upward
retrorse	bent or curved backward or downward
decurved	bent down or curved downward
aquatic	operating or living or growing in water
marine	native to or inhabiting the sea
semiaquatic	partially aquatic
subaqueous	growing or remaining under water
terrestrial	operating or living or growing on land
amphibious	operating or living on land and in water
